mutation_rate,number_of_crossovers,k_tournament,k_tournament_final_linear_increase_factor,Average Performance
0.2431251665526191,6.497293521399687,2.876588305322051,5.135953470541621,6.879333988869016
0.3262862708379671,6.033882250369026,1.2329659170971312,3.104579192345431,1.4808644650182878
0.4846459281395553,3.1624601502812575,2.5793656070112863,1.0404738730414735,3.124658654470869
0.11710360980455192,2.2467564201280763,3.9640553620758774,9.368475484744346,10.042983071500185
0.10422104633355041,8.859564322244012,1.613477185836901,7.273202966021048,2.815871105152234
0.15687321473232624,3,4,8,-4.347300865210729
0.4553042623812276,10,3,1,-1.9849589880828238
0.01,1,2,10,-0.18214886546042025
0.05772914628898315,10,2,1,-0.5546588538170465
0.39888676926132055,10,2,10,9.624993386367617
